"table_catalog";"table_schema";"table_name";"column_name";"ordinal_position";"column_default";"is_nullable";"data_type";"character_maximum_length";"character_octet_length";"numeric_precision";"numeric_precision_radix";"numeric_scale";"datetime_precision";"interval_type";"interval_precision";"character_set_catalog";"character_set_schema";"character_set_name";"collation_catalog";"collation_schema";"collation_name";"domain_catalog";"domain_schema";"domain_name";"udt_catalog";"udt_schema";"udt_name";"scope_catalog";"scope_schema";"scope_name";"maximum_cardinality";"dtd_identifier";"is_self_referencing";"is_identity";"identity_generation";"identity_start";"identity_increment";"identity_maximum";"identity_minimum";"identity_cycle";"is_generated";"generation_expression";"is_updatable"
"cnx";"entrasp";"procedure_aziendali";"codice_azienda";"1";"";"NO";"character varying";"30";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"1";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"codice";"2";"";"NO";"character varying";"30";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"2";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"descrizione_breve";"3";"";"NO";"character varying";"240";"960";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"3";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"id_procedura";"4";"";"NO";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"4";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"id_procedura_parent";"5";"";"YES";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"5";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"ordinamento";"6";"";"YES";"numeric";"";"";"3";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"6";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"tree_path";"7";"";"YES";"character varying";"100";"400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"7";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"frequenza";"8";"";"YES";"text";"";"1073741824";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"text";"";"";"";"";"8";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"strumento_informatico";"9";"";"YES";"text";"";"1073741824";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"text";"";"";"";"";"9";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"id_centro_gest";"10";"";"YES";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"10";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"codice_part";"11";"";"YES";"character varying";"20";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"11";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"descrizione";"12";"";"YES";"text";"";"1073741824";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"text";"";"";"";"";"12";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"tipo_procedura";"13";"'0'::bpchar";"NO";"character";"1";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"bpchar";"";"";"";"";"13";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"stato_attuazione";"14";"";"YES";"character";"1";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"bpchar";"";"";"";"";"14";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"procedure_aziendali";"id_tipo_processo";"15";"";"YES";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"15";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
