"table_catalog";"table_schema";"table_name";"column_name";"ordinal_position";"column_default";"is_nullable";"data_type";"character_maximum_length";"character_octet_length";"numeric_precision";"numeric_precision_radix";"numeric_scale";"datetime_precision";"interval_type";"interval_precision";"character_set_catalog";"character_set_schema";"character_set_name";"collation_catalog";"collation_schema";"collation_name";"domain_catalog";"domain_schema";"domain_name";"udt_catalog";"udt_schema";"udt_name";"scope_catalog";"scope_schema";"scope_name";"maximum_cardinality";"dtd_identifier";"is_self_referencing";"is_identity";"identity_generation";"identity_start";"identity_increment";"identity_maximum";"identity_minimum";"identity_cycle";"is_generated";"generation_expression";"is_updatable"
"cnx";"entrasp";"centri_gestionali";"codice_part";"1";"";"NO";"character varying";"20";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"1";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"id_centro_gest";"2";"";"NO";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"2";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"codice";"3";"";"NO";"character varying";"20";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"3";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"descrizione";"4";"";"NO";"character varying";"120";"480";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"4";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"id_centro_gest_parent";"5";"";"YES";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"5";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"id_responsabile";"6";"";"YES";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"6";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"tree_path_referente";"7";"";"YES";"character varying";"240";"960";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"7";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"id_gruppo_lavoro";"8";"";"NO";"numeric";"";"";"12";"10";"0";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"numeric";"";"";"";"";"8";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"tree_path";"9";"";"YES";"character varying";"240";"960";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"9";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"ute_ref";"10";"";"YES";"character varying";"30";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"varchar";"";"";"";"";"10";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"flag_grc_controller";"11";"'0'::bpchar";"NO";"character";"1";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"bpchar";"";"";"";"";"11";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
"cnx";"entrasp";"centri_gestionali";"flag_grc_gestore";"12";"'0'::bpchar";"NO";"character";"1";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"cnx";"pg_catalog";"bpchar";"";"";"";"";"12";"NO";"NO";"";"";"";"";"";"";"NEVER";"";"YES"
