"id_filtro_selezione","descrizione","object_context","object_name","filter","bind_expression","error_code_list","note","sort_expression","filter_tipi_avviso","nome_tabella","campo_descr_oggetto","additional_filter","selection_sql"
"1","Risorse umane (tutte)",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='RSRSA'])",NULL,NULL,"Tutte le risorse umane, interne (dipendenti) o esterne (collaboratori).",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='RSRSA'])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"1001","CLIENTI ENTITA' GIURIDICHE",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='CLI']) AND tipoSoggetto = 'E'",NULL,NULL,NULL,NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='CLI']) AND tipoSoggetto = 'E'","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"1002","Responsabili di segnalazioni scadute oggi",NULL,"anagraficheId","exists(compitiResponsabile[dataSegnalazione <= sysdate])",NULL,NULL,NULL,NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(compitiResponsabile[dataSegnalazione <= sysdate])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"30","Debitori",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='DEB'])",NULL,NULL,"Tutti i debitori",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='DEB'])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='DEB' and codice_azienda='DEMO')"
"2","Clienti",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='CLI'])",NULL,NULL,"Tutti i clienti senza distinzione tra sede legale, anagrafica contabile, sede operativa, destinazione o altro.",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='CLI'])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo='CLI' and codice_azienda='DEMO')"
"1008","Centri gestionali con sondaggi che scadono tra 14 gg",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-14) = sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-14) = sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')])",NULL
"1009","Centri gestionali con sondaggi che scadono tra 1-7 gg (esclusi giornalieri)",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-7) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-1) >= sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-7) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-1) >= sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')])",NULL
"1010","Centri gestionali con sondaggi che scadranno",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista) > sysdate])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista) > sysdate])",NULL
"38","Centri gestionali con sondaggi che scadono tra 7-14 gg (esclusi giornalieri)",NULL,"centriGestionali","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-14) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-7) > sysdate and serieRipetizione.cadenza != 'G'])",NULL,NULL,NULL,NULL,NULL,"centri_gestionali","descrizione","exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-14) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-7) > sysdate and serieRipetizione.cadenza != 'G'])",NULL
"4","Dipendenti",NULL,"anagraficheId","exists(ruoliAnagrafiche[codiceRuolo='DIP'])",NULL,NULL,"Tutti i dipendenti",NULL,NULL,"anagrafiche_id","entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)","exists(ruoliAnagrafiche[codiceRuolo='DIP'])","select 'ZZZZ' as codice_az, XXXX as id_filtro, entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica) as object_description, 'anagraficheId' as object_name, YYYY  from entrasp.anagrafiche_id an where codice_part='DEMO' 
and exists(select 1 from entrasp.ruoli_anagrafiche ra where an.id_anagrafica=ra.id_anagrafica and an.codice_part=ra.codice_part and ra.codice_ruolo in ('DIP', 'RSRSA') and codice_azienda='DEMO')"
