nome_tabella;ordinamento
anagrafiche_id;20
aziende;30
compiti_cfg;40
consuntivazioni_cfg;50
aree_geografiche_zone;130
avvisi;140
cab;150
calendari_exc;170
calendari;180
calendari_sincronizzati_az;190
calendari_sincronizzati_server;200
cpl_soglie;210
cpl_risk_response;220
cpl_sv;260
procedure_aziendali;270
presidi;280
rischi;290
cpl_compiti;310
compiti_dipendenze;320
compiti_eventi;330
compiti_fonti_rischio;340
compiti_msg;350
compiti_presidi;360
compiti_procedure;370
compiti_rif_bo;380
consuntivazioni;390
cpl_trattamenti_dati;400
cpl_trattamenti_dati_categorie_interessati;410
modelli_test;440
modelli_test_risultati;450
modelli_test_vr;460
modelli_test_sottomodello;470
modelli_test_risultati_righe;480
domande_presidi;510
progetti_fasi_relazioni;520
cpl_risultati;720
cdms_access_log;820
cdms_nodi_classificazione;830
cdms_nodi_risorse;840
cdms_notifiche;850
cdms_profili;860
cdms_risorse;870
cdms_risorse_notifiche;880
cdms_risorse_oggetti;890
partizioni;10
ruoli_anagrafiche;60
tipi_allegati;70
tipi_anagrafiche;80
tipi_attivita;90
tipi_avviso;100
tipi_modelli_test_risultati;110
aree_geografiche;120
centri_gestionali;160
cpl_srr;230
tipi_segnalazioni;240
tipi_processi;250
compiti;300
tipi_modello_test;420
tipi_modelli_test_risultati_righe;430
domande;490
risposte_previste;500
progetti_fasi_tr;530
progetti_fasi_vincoli;540
progetti_vr;550
rischi_argomenti;560
rischi_articoli_normativi;570
rischi_presidi;580
sondaggi_somministrati_oggetti_considerati;610
time_report;620
calendari_sincronizzati;630
agenda;640
sondaggi_agende;650
progetti;660
compiti_rischi;670
progetti_fasi;680
modelli_test_sottomodello_domande;690
modelli_test_argomenti;700
cpl_giudizi_verifiche;710
tipi_rischio;730
cpl_trattamenti_dati_categorie_destinatari;740
cpl_trattamenti_dati_categorie_dati_personali;750
cdms_risorse_riferimenti;760
cpl_modelli_test;770
rischi_tipi;780
consuntivazioni_log;790
domande_sezioni;800
cdms_risorse_ft;810
grc_domande_modelli_sondaggi_rischi_presidi;900
sondaggi;590
sondaggi_somministrati;600
progetti_fasi_vr;910
risposte;920
cdms_risorse_revisioni;930
cdms_template;940
cdms_utenti_profili;950
compiti_argomenti;960
compiti_assegnazioni;970
compiti_asset;980
interventi_compiti;990
codifica_manutenzioni;35
email;36
messaggi;37
utenti;38
inviti_aziende;41
