id_filtro_selezione;descrizione;object_context;object_name;filter;bind_expression;error_code_list;note;sort_expression;filter_tipi_avviso;nome_tabella;campo_descr_oggetto
1;Risorse umane (tutte);;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='RSRSA']);;;Tutte le risorse umane, interne (dipendenti) o esterne (collaboratori).;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
2;Clienti;;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='CLI']);;;Tutti i clienti senza distinzione tra sede legale, anagrafica contabile, sede operativa, destinazione o altro.;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
1001;CLIENTI ENTITA' GIURIDICHE;;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='CLI']) AND tipoSoggetto = 'E';;;;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
1002;Responsabili di segnalazioni scadute oggi;;anagraficheId;exists(compitiResponsabile[dataSegnalazione <= sysdate]);;;;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
30;Debitori;;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='DEB']);;;Tutti i debitori;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
1008;Centri gestionali con sondaggi che scadono tra 14 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-14) = sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')]);;;;;;centri_gestionali;descrizione
1009;Centri gestionali con sondaggi che scadono tra 1-7 gg (esclusi giornalieri);;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-7) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-1) >= sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')]);;;;;;centri_gestionali;descrizione
1010;Centri gestionali con sondaggi che scadranno;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and coalesce(dataEsecuzione, dataPrevista) > sysdate]);;;;;;centri_gestionali;descrizione
38;Centri gestionali con sondaggi che scadono tra 7-14 gg (esclusi giornalieri);;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-14) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-7) > sysdate and serieRipetizione.cadenza != 'G']);;;;;;centri_gestionali;descrizione
34;Anagrafiche tutte;;anagraficheId;;;;Anagrafiche tutte;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
3;Fonti di rischio (per argomento e rischio specifico);sondaggi;fontiRischio;rischio.rischiTipiTest.idArgomento = ? and codiceRischio = ?;modelloTest.idArgomento|modelloTest.cplModelloTest.codiceRischio;;Tutte le fonti di rischio associate al rischio indicato nel modello di test e all'argomento indicato nel sondaggio.;;;fonti_rischio;
5;Fonti di rischio (per tipo modello di test e rischio specifico);;fontiRischio;rischio.rischiTipiTest.idTipoModelloTest = ? and codiceRischio = ?;modelloTest.idTipoModellloTest|modelloTest.cplModelloTest.codiceRischio;;Tutte le fonti di rischio associate al rischio e al tipo di modello di test indicato nel modello di test stesso.;;;fonti_rischio;
6;Fonti di rischio (per tipo modello di test specifico);;fontiRischio;rischio.rischiTipiTest.idTipoModelloTest = ?;modelloTest.idTipoModellloTest;;Tutte le fonti di rischio associate al tipo di modello di test indicato nel modello di test stesso.;;;fonti_rischio;
4;Dipendenti;;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='DIP']);;;Tutti i dipendenti;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
9;Fornitori;;anagraficheId;exists(ruoliAnagrafiche[codiceRuolo='FOR']);;;Tutti i fornitori senza distinzione tra sede legale, anagrafica contabile, sede operativa, destinazione o altro.;;;anagrafiche_id;entrasp.anagrafiche_vr_dati_identificativi(codice_part,id_anagrafica)
37;Centri gestionali con sondaggi da fare;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A')]);;;;;;centri_gestionali;descrizione
1005;Centri gestionali con sondaggi che scadono tra 30-60 gg (esclusi giornalieri);;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-60) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-30) > sysdate and (idSerie = null or serieRipetizione.cadenza != 'G')]);;;;;;centri_gestionali;descrizione
1011;Centri gestionali con sondaggi scaduti e confermati;;centriGestionali;exists(sondaggi[(stato = 'A') and coalesce(dataEsecuzione, dataPrevista) <= sysdate]);;;Centri gestionali con sondaggi scaduti e confermati;;;centri_gestionali;descrizione
1004;CG con sondaggi annuali tra 30-90 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-90) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-30) > sysdate and serieRipetizione.cadenza != 'A']);;;Centri gestionali con sondaggi annuali che scadono tra 30-90 gg ;;;centri_gestionali;descrizione
1007;CG con sondaggi annuali o mensili tra 14-21 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-21) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-14) > sysdate and (idSerie = null or (serieRipetizione.cadenza != 'G' AND serieRipetizione.cadenza != 'S' ))]);;;Centri gestionali con sondaggi che scadono tra 14-21 gg;;;centri_gestionali;descrizione
1006;CG con sondaggi annuali o mensili tra 21-30 gg ;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-21) > sysdate and (idSerie = null or (serieRipetizione.cadenza != 'G' AND serieRipetizione.cadenza != 'S'))]);;;Centri gestionali con sondaggi annuali o mensili che scadono tra 21-30 gg ;;;centri_gestionali;descrizione
1036;Centri gestionali con sondaggi scaduti e confermati (audit e compliance Finafarm);;centriGestionali;exists(sondaggi[(idCentroGest = 13 or idCentroGest = 15 or idCentroGest = 16) and stato = 'A' and coalesce(dataEsecuzione, dataPrevista) <= sysdate]);;;Centri gestionali con sondaggi scaduti e confermati (audit e compliance Finafarm);;;centri_gestionali;descrizione
1037;Centri gestionali con sondaggi scaduti e confermati (NO controller Finafarm);;centriGestionali;exists(sondaggi[idCentroGest != 13 and idCentroGest != 15 and idCentroGest != 16 and stato = 'A' and coalesce(dataEsecuzione, dataPrevista) <= sysdate]);;;Centri gestionali con sondaggi scaduti e confermati (NO audit e compliance Finafarm);;;centri_gestionali;descrizione
43;CG con scadenza bi-tri-quadrimestrale tra 30 gg;;centriGestionali;exists(sondaggi[(stato = 'P' or stato = 'A') and (coalesce(dataEsecuzione, dataPrevista)-30) <= sysdate and (coalesce(dataEsecuzione, dataPrevista)-29) > sysdate and (serieRipetizione.cadenza= 'M' AND (serieRipetizione.periodicita=2 or serieRipetizione.periodicita=3 or serieRipetizione.periodicita=4))]);;;Centri gestionali con scadenza bimestrale, trimestrale o quadrimestrale che scadono tra 30 giorni;;;centri_gestionali;descrizione
7;Eventi/progetti;;eventi;;;;Tutti gli eventi/progetti.;;;eventi;
8;Procedure aziendali;;procedureAziendali;;;;Tutte le procedure aziendali.;;;procedureAziendali;
10;Rischi associati all'argomento selezionato;;rischi;rischiTipiTest.idArgomento = ?;modelloTest.idArgomento;;Tutti i rischi associati all'argomento indicato nel modello di test stesso.;;;rischi;
11;Compiti non chiusi;;compiti;stato != 'C' and stato != 'N';;;;;;compiti;
12;Sondaggi;;sondaggi;stato != 'N';;;Tutti i sondaggi.;;;sondaggi;
14;Risposte;;riepilogoRisposte;;;;Tutte le risposte.;;;riepilogoRisposte;
15;Appuntamenti ed impegni provvisori;;agenda;stato = 'P';;;;;;agenda;
0;Popolazione generica;;aziende;;;;Oggetto di base usato quando la selezione non è rilevante.;;;aziende;
23;Mese corrente;;periodi;tipo = 'M' and dataDa <= sysdate and dataA >= sysdate;;;;;;periodi;
1039;Listini promozionali da approvare;;listiniVendita;flagPromozione = '1' and stato = 'A';;;;;;listiniVendita;
100;Rischi;;rischi;;;;Tutti i rischi;;;rischi;
1038;Campionature;;documenti;codiceTipoDocAz = 'CPTR' and stato = 'C';;;;;;documenti;
20;Mandati;;contratti;;;;Mandati;;;contratti;
19;Finanziamenti Finafarm;;articoli;codiceTipoArticolo='FIN';;;;;;articoli;
22;Progetti;;progetti;;;;;;;progetti;
21;Linee di prodotto (Fasi progetti);;progettiFasi;;;;;;;progettiFasi;
61;Consuntivazioni;;consuntivazioni;;;;;dataIntervento;;consuntivazioni;
